method,latency_sec,metric,score_raw,score_norm,quality_mean_norm
DMD-4,10.0,LPIPS,0.687322239,0.8350061875934498,0.9321987775886097
DMD-4,10.0,MSE,0.06662615899999999,0.9634863618231744,0.9321987775886097
DMD-4,10.0,PSNR,11.864295025,0.9533076653833946,0.9321987775886097
DMD-4,10.0,SSIM,0.297985737,0.9769948955544199,0.9321987775886097
DMD-8,15.0,LPIPS,0.6787838215,1.0,0.600136240588542
DMD-8,15.0,MSE,0.076824251,0.7311599267624743,0.600136240588542
DMD-8,15.0,PSNR,11.22935844,0.6693850355916935,0.600136240588542
DMD-8,15.0,SSIM,0.270317605,0.0,0.600136240588542
SFT-10,30.0,LPIPS,0.7305337470000001,0.0,0.2265901762551403
SFT-10,30.0,MSE,0.10891890349999998,0.0,0.2265901762551403
SFT-10,30.0,PSNR,9.732411723,0.0,0.2265901762551403
SFT-10,30.0,SSIM,0.295985403,0.9063607050205612,0.2265901762551403
SFT-50,180.0,LPIPS,0.6823053514999999,0.9319510131468715,0.9829877532867178
SFT-50,180.0,MSE,0.0650233735,1.0,0.9829877532867178
SFT-50,180.0,PSNR,11.96871316,1.0,0.9829877532867178
SFT-50,180.0,SSIM,0.29863723299999995,1.0,0.9829877532867178
