method,latency_sec,total_cases,metric_raw,metric,score_raw,score_norm
DMD-4,10.0,62,LearnedPerceptualImagePatchSimilarity,LPIPS,0.687322239,0.8350061875934498
DMD-4,10.0,62,MeanSquaredError,MSE,0.06662615899999999,0.9634863618231744
DMD-4,10.0,62,PeakSignaltoNoiseRatio,PSNR,11.864295025,0.9533076653833946
DMD-4,10.0,62,StructuralSimilarityIndexMeasure,SSIM,0.297985737,0.9769948955544199
DMD-8,15.0,62,LearnedPerceptualImagePatchSimilarity,LPIPS,0.6787838215,1.0
DMD-8,15.0,62,MeanSquaredError,MSE,0.076824251,0.7311599267624743
DMD-8,15.0,62,PeakSignaltoNoiseRatio,PSNR,11.22935844,0.6693850355916935
DMD-8,15.0,62,StructuralSimilarityIndexMeasure,SSIM,0.270317605,0.0
SFT-10,30.0,62,LearnedPerceptualImagePatchSimilarity,LPIPS,0.7305337470000001,0.0
SFT-10,30.0,62,MeanSquaredError,MSE,0.10891890349999998,0.0
SFT-10,30.0,62,PeakSignaltoNoiseRatio,PSNR,9.732411723,0.0
SFT-10,30.0,62,StructuralSimilarityIndexMeasure,SSIM,0.295985403,0.9063607050205612
SFT-50,180.0,62,LearnedPerceptualImagePatchSimilarity,LPIPS,0.6823053514999999,0.9319510131468715
SFT-50,180.0,62,MeanSquaredError,MSE,0.0650233735,1.0
SFT-50,180.0,62,PeakSignaltoNoiseRatio,PSNR,11.96871316,1.0
SFT-50,180.0,62,StructuralSimilarityIndexMeasure,SSIM,0.29863723299999995,1.0
