term,train,test_seen,test_unseen,total,unseen_only
black,3434,787,906,5127,0
dark,3280,801,604,4685,0
pants,2918,671,730,4319,0
hair,2521,603,375,3499,0
jacket,2118,512,645,3275,0
white,1658,388,304,2350,0
blue,1054,254,355,1663,0
purple,1214,313,45,1572,0
shirt,976,211,227,1414,0
grey,790,155,158,1103,0
pack,641,123,160,924,0
fanny,613,120,156,889,0
hooded,554,142,84,780,0
waist,522,115,125,762,0
ponytail,502,112,95,709,0
streaks,535,144,6,685,0
hoodie,488,110,51,649,0
jeans,412,99,40,551,0
green,342,81,94,517,0
tied,385,76,54,515,0
sweater,386,88,15,489,0
light,347,73,60,480,0
harness,346,76,43,465,0
brown,309,84,51,444,0
beige,339,76,29,444,0
denim,331,90,13,434,0
bag,296,72,48,416,0
long,229,70,93,392,0
glasses,161,34,107,302,0
top,205,67,23,295,0
dyed,219,48,8,275,0
patterned,214,45,12,271,0
pink,210,50,4,264,0
backpack,129,27,86,242,0
red,88,19,134,241,0
hat,190,39,7,236,0
skirt,169,38,0,207,0
shorts,144,35,18,197,0
short,125,26,27,178,0
shoes,104,20,35,159,0
sneakers,67,19,15,101,0
plaid,4,0,95,99,0
orange,66,19,3,88,0
fluffy,53,16,0,69,0
coat,26,6,30,62,0
vest,43,13,5,61,0
yellow,27,3,26,56,0
scarf,3,0,39,42,0
cap,20,5,11,36,0
leggings,16,9,4,29,0
mask,12,1,3,16,0
curly,13,2,0,15,0
helmet,11,2,1,14,0
colored,5,2,6,13,0
boots,4,2,6,12,0
striped,7,0,4,11,0
bun,10,0,1,11,0
dress,6,3,1,10,0
braid,5,0,3,8,0
streak,4,1,0,5,0
braids,1,0,1,2,0
straight,0,0,1,1,1
