term,train,test_seen,test_unseen,total,unseen_only
road,2321,508,144,2973,0
paved,1502,326,130,1958,0
street,1030,227,251,1508,0
walkway,1016,245,237,1498,0
sidewalk,980,197,155,1332,0
floor,636,143,367,1146,0
green,739,170,213,1122,0
room,833,183,52,1068,0
indoor,466,107,490,1063,0
sky,834,188,29,1051,0
building,774,159,114,1047,0
kitchen,801,225,15,1041,0
tiled,668,174,118,960,0
outdoor,619,148,136,903,0
urban,586,133,129,848,0
park,637,145,11,793,0
desk,625,139,1,765,0
table,348,99,312,759,0
window,507,138,20,665,0
mall,303,68,288,659,0
traffic,460,113,76,649,0
wall,431,99,91,621,0
overcast,486,92,6,584,0
grassy,467,103,5,575,0
counter,350,93,52,495,0
bunk,407,84,0,491,0
hallway,274,54,69,397,0
store,264,50,66,380,0
bus,301,62,12,375,0
grass,298,60,6,364,0
bed,287,61,1,349,0
commercial,185,49,114,348,0
parking,221,42,10,273,0
station,112,29,131,272,0
car,195,53,7,255,0
lane,183,33,5,221,0
office,155,37,20,212,0
vegetation,178,31,3,212,0
plaza,150,45,16,211,0
daytime,102,19,22,143,0
crosswalk,93,22,23,138,0
public,74,15,47,136,0
shop,65,23,45,133,0
restaurant,72,15,42,129,0
lot,98,20,9,127,0
platform,46,7,73,126,0
elevated,80,18,22,120,0
supermarket,80,29,2,111,0
residential,75,22,10,107,0
nighttime,68,14,11,93,0
bridge,63,18,9,90,0
aisle,73,15,2,90,0
corridor,52,11,25,88,0
intersection,56,19,11,86,0
campus,61,16,6,83,0
lobby,62,7,3,72,0
highway,41,12,3,56,0
cafe,15,5,32,52,0
market,30,5,16,51,0
cabinet,35,5,2,42,0
hedge,29,7,1,37,0
checkout,18,11,0,29,0
tree,16,7,4,27,0
shelf,20,3,3,26,0
playground,6,1,1,8,0
